IPK,Mata Kuliah Tidak Lulus,Jumlah Cuti Akademik,Pekerjaan Sambil Kuliah,Jumlah Semester,Status Kelulusan,IPS Rata-rata,IPS Semester Akhir,IPS Tren,Kategori Kehadiran
3.574507122951685,0,2,Ya,8,Lulus,2.8311619328952045,2.73604520721012,0.29,Rendah
2.6492603548243223,4,2,Tidak,11,Drop Out,2.855566951269715,2.8711655582983964,0.39,Tinggi
3.847153280715104,3,0,Ya,8,Lulus,3.799819292745078,3.9817269883187305,0.71,Tinggi
2.348454478461204,1,0,Tidak,14,Lulus,3.07474474444564,2.999054585217808,-0.14,Sedang
2.6348769937914995,4,2,Ya,12,Drop Out,3.000951320217675,2.9827399693576138,0.35,Sedang
3.904879456457623,3,0,Ya,13,Lulus,3.1957992976242453,2.7287927770791103,-0.92,Sedang
2.9268819223261087,6,2,Tidak,14,Drop Out,2.5325851318698858,2.5758128274291545,-1.15,Tinggi
4.0,2,0,Ya,10,Lulus,3.1613103383686623,3.0259941989630983,1.02,Sedang
3.619578842109757,2,0,Tidak,11,Lulus,2.7864304141141654,2.8788227668486925,-0.11,Rendah
3.701384006537895,2,1,Ya,8,Lulus,3.062037727666684,3.3749376696491504,-0.63,Rendah
2.850487346078131,4,0,Ya,9,Drop Out,2.5870341807619184,2.272725519825052,-0.41,Sedang
3.6401405369644615,1,0,Tidak,11,Lulus,2.603684549378804,2.6812355509465458,-0.16,Sedang
2.476294340734905,4,2,Tidak,14,Drop Out,2.3826787251905177,1.6328888364165324,-0.77,Rendah
3.6130079633013295,2,0,Ya,10,Lulus,3.936344599052085,4.0,-0.51,Tinggi
3.251262325123045,3,1,Tidak,12,Lulus,3.7834793967836062,3.758244946270736,1.02,Tinggi
2.025656870613854,9,2,Tidak,10,Drop Out,2.9626523628730497,2.95174669714691,-0.49,Tinggi
2.6380753319498367,3,2,Tidak,12,Drop Out,2.503120655205169,2.651214408785492,-0.9,Rendah
